iter	Passed	Remaining
258	719	2058
259	721	2054
260	724	2050
261	726	2046
262	728	2040
263	730	2036
264	732	2032
265	734	2028
266	736	2022
267	739	2018
268	741	2015
269	743	2011
270	746	2007
271	747	2001
272	750	1997
273	751	1992
274	754	1988
275	756	1984
276	759	1981
277	761	1977
278	763	1973
279	766	1970
280	767	1963
281	769	1960
282	772	1955
283	774	1952
284	776	1948
285	779	1945
286	781	1941
287	783	1937
288	786	1934
289	788	1930
290	790	1926
291	793	1923
292	795	1919
293	797	1914
294	799	1910
295	801	1906
296	804	1903
297	806	1899
298	808	1895
299	810	1892
300	812	1887
301	815	1884
302	817	1881
303	820	1878
304	822	1874
305	825	1871
306	826	1866
307	829	1863
308	831	1860
309	834	1856
310	836	1853
311	838	1849
312	840	1844
313	842	1841
314	845	1837
315	847	1834
316	849	1830
317	852	1827
318	854	1824
319	857	1821
320	859	1817
321	861	1813
322	863	1809
323	864	1804
324	867	1800
325	869	1797
326	871	1793
327	874	1790
328	876	1787
329	878	1783
330	881	1780
331	883	1777
332	885	1773
333	887	1770
334	890	1767
335	892	1764
336	895	1761
337	897	1758
338	900	1755
339	902	1752
340	905	1749
341	907	1746
342	910	1743
343	913	1741
344	915	1737
345	917	1734
346	920	1732
347	922	1729
348	925	1726
349	927	1723
350	930	1720
351	933	1717
352	935	1714
353	938	1712
354	940	1709
355	943	1706
356	945	1703
357	948	1700
358	950	1697
359	952	1694
360	955	1691
361	958	1688
362	960	1685
363	963	1683
364	965	1680
365	968	1677
366	970	1673
367	972	1670
368	975	1668
369	977	1665
370	980	1662
371	982	1659
372	985	1656
373	988	1654
374	990	1651
375	993	1648
376	995	1645
377	998	1643
378	1001	1640
379	1003	1637
380	1006	1634
381	1009	1633
382	1012	1630
383	1014	1627
384	1017	1624
385	1019	1621
386	1022	1619
387	1024	1615
388	1025	1611
389	1028	1608
390	1030	1605
391	1033	1602
392	1036	1600
393	1038	1597
394	1041	1594
395	1043	1590
396	1045	1587
397	1047	1585
398	1050	1582
399	1052	1579
400	1055	1576
401	1057	1573
402	1060	1570
403	1062	1567
404	1064	1564
405	1067	1561
406	1069	1558
407	1071	1555
408	1074	1552
409	1076	1549
410	1078	1546
411	1080	1541
412	1082	1538
413	1085	1535
414	1086	1531
415	1088	1528
416	1091	1525
417	1093	1522
418	1095	1519
419	1098	1516
420	1099	1512
421	1102	1509
422	1104	1506
423	1106	1503
424	1109	1501
425	1111	1498
426	1114	1495
427	1116	1492
428	1118	1489
429	1121	1486
430	1123	1483
431	1126	1480
432	1128	1477
433	1130	1474
434	1133	1471
435	1135	1468
436	1137	1465
437	1140	1463
438	1142	1460
439	1145	1457
440	1147	1454
441	1149	1451
442	1152	1448
443	1154	1445
444	1157	1443
